Sample_ID,Locus,Type,Well,Timepoint,Replicate,PE1_index,RC_for_index,RC_rev_index,PE2_index
106,YCL074W,locus,F11,T12,2,2,6,12,2
107,YCL074W,locus,G11,Plating,1,2,7,12,2
108,YCL074W,locus,H11,Plating,2,2,8,12,2
109,YCL074W,locus,I11,can_recov,1,2,9,12,2
110,YCL074W,locus,J11,can_recov,2,2,10,12,2
111,VPS17,locus,A12,T0,1,2,1,13,2
112,VPS17,locus,B12,T0,2,2,2,13,2
113,VPS17,locus,C12,T6,1,2,3,13,2
114,VPS17,locus,D12,T6,2,2,4,13,2
115,VPS17,locus,E12,T12,1,2,5,13,2
116,VPS17,locus,F12,T12,2,2,6,13,2
117,VPS17,locus,G12,Plating,1,2,7,13,2
118,VPS17,locus,H12,Plating,2,2,8,13,2
119,VPS17,locus,I12,can_recov,1,2,9,13,2
120,VPS17,locus,J12,can_recov,2,2,10,13,2
121,ADE1,CAN1,A1,T0,1,3,1,1,3
122,ADE1,CAN1,B1,T0,2,3,2,1,3
123,ADE1,CAN1,C1,T6,1,3,3,1,3
124,ADE1,CAN1,D1,T6,2,3,4,1,3
125,ADE1,CAN1,E1,T12,1,3,5,1,3
126,ADE1,CAN1,F1,T12,2,3,6,1,3
127,ADE1,CAN1,G1,Plating,1,3,7,1,3
128,ADE1,CAN1,H1,Plating,2,3,8,1,3
129,ADE1,CAN1,I1,can_recov,1,3,9,1,3
130,ADE1,CAN1,J1,can_recov,2,3,10,1,3
131,POB3,CAN1,A2,T0,1,3,1,2,3
132,POB3,CAN1,B2,T0,2,3,2,2,3
133,POB3,CAN1,C2,T6,1,3,3,2,3
134,POB3,CAN1,D2,T6,2,3,4,2,3
135,POB3,CAN1,E2,T12,1,3,5,2,3
136,POB3,CAN1,F2,T12,2,3,6,2,3
137,POB3,CAN1,G2,Plating,1,3,7,2,3
138,POB3,CAN1,H2,Plating,2,3,8,2,3
139,POB3,CAN1,I2,can_recov,1,3,9,2,3
140,POB3,CAN1,J2,can_recov,2,3,10,2,3
141,CBK1,CAN1,A3,T0,1,3,1,3,3
142,CBK1,CAN1,B3,T0,2,3,2,3,3
143,CBK1,CAN1,C3,T6,1,3,3,3,3
144,CBK1,CAN1,D3,T6,2,3,4,3,3
145,CBK1,CAN1,E3,T12,1,3,5,3,3
146,CBK1,CAN1,F3,T12,2,3,6,3,3
147,CBK1,CAN1,G3,Plating,1,3,7,3,3
148,CBK1,CAN1,H3,Plating,2,3,8,3,3
149,CBK1,CAN1,I3,can_recov,1,3,9,3,3
150,CBK1,CAN1,J3,can_recov,2,3,10,3,3
151,TRE2,CAN1,A4,T0,1,3,1,4,3
152,TRE2,CAN1,B4,T0,2,3,2,4,3
153,TRE2,CAN1,C4,T6,1,3,3,4,3
154,TRE2,CAN1,D4,T6,2,3,4,4,3
155,TRE2,CAN1,E4,T12,1,3,5,4,3
156,TRE2,CAN1,F4,T12,2,3,6,4,3
157,TRE2,CAN1,G4,Plating,1,3,7,4,3
158,TRE2,CAN1,H4,Plating,2,3,8,4,3
159,TRE2,CAN1,I4,can_recov,1,3,9,4,3
160,TRE2,CAN1,J4,can_recov,2,3,10,4,3
161,TRL1,CAN1,A5,T0,1,3,1,5,3
162,TRL1,CAN1,B5,T0,2,3,2,5,3
163,TRL1,CAN1,C5,T6,1,3,3,5,3
164,TRL1,CAN1,D5,T6,2,3,4,5,3
165,TRL1,CAN1,E5,T12,1,3,5,5,3
166,TRL1,CAN1,F5,T12,2,3,6,5,3
167,TRL1,CAN1,G5,Plating,1,3,7,5,3
